"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Liu, R.; Piplani, R.; Toro, C.","Liu, Renke (57657119600); Piplani, Rajesh (6602811473); Toro, Carlos (24451001200)","57657119600; 6602811473; 24451001200","A deep multi-agent reinforcement learning approach to solve dynamic job shop scheduling problem","2023","Computers and Operations Research","159","","106294","","","0","71","10.1016/j.cor.2023.106294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163036561&doi=10.1016%2Fj.cor.2023.106294&partnerID=40&md5=d18828054787eeae1db4feca56044b57","Article","Final","","Scopus","2-s2.0-85163036561"
"Mitic, P.; Petrović Savić, S.; Djordjevic, A.; Erić, M.; Sukic, E.; Vidojević, D.; Stefanovic, M.","Mitic, Predrag (57673800500); Petrović Savić, Suzana (55313363100); Djordjevic, Aleksandar (57220193005); Erić, Milan D. (24465165800); Sukic, Enes (35365263000); Vidojević, Dejan V. (58292966500); Stefanovic, Miladin (25626937000)","57673800500; 55313363100; 57220193005; 24465165800; 35365263000; 58292966500; 25626937000","The Problem of Machine Part Operations Optimal Scheduling in the Production Industry Based on a Customer’s Order","2023","Applied Sciences (Switzerland)","13","19","11049","","","0","6","10.3390/app131911049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174173839&doi=10.3390%2Fapp131911049&partnerID=40&md5=a9b687731672afea84bc77f75afb31aa","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174173839"
"Yin, Y.; Wan, M.; Xu, P.; Zhang, R.; Liu, Y.; Song, Y.","Yin, Yiming (58488088900); Wan, Ming (36543417800); Xu, Panfeng (56559152400); Zhang, Rui (57197787043); Liu, Yang (58748443800); Song, Yan (57217222093)","58488088900; 36543417800; 56559152400; 57197787043; 58748443800; 57217222093","Industrial Product Quality Analysis Based on Online Machine Learning","2023","Sensors","23","19","8167","","","0","3","10.3390/s23198167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174069975&doi=10.3390%2Fs23198167&partnerID=40&md5=bfdd5f10e249b873483a9c8ebc445aa5","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85174069975"
"Pérez, H.D.; Harshbarger, K.C.; Wassick, J.M.; Grossmann, I.E.","Pérez, Héctor D. (58422036800); Harshbarger, Kyle C. (58539212000); Wassick, John M. (7801493949); Grossmann, Ignacio E. (7102750465)","58422036800; 58539212000; 7801493949; 7102750465","Integrating information, financial, and material flows in a chemical supply chain","2023","Computers and Chemical Engineering","178","","108363","","","0","5","10.1016/j.compchemeng.2023.108363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168163765&doi=10.1016%2Fj.compchemeng.2023.108363&partnerID=40&md5=fa46a9a870603691570b62690df81b46","Article","Final","","Scopus","2-s2.0-85168163765"
"Senoner, J.; Kratzwald, B.; Kuzmanovic, M.; Netland, T.H.; Feuerriegel, S.","Senoner, Julian (57216863672); Kratzwald, Bernhard (56470814500); Kuzmanovic, Milan (57376296000); Netland, Torbjørn H. (36667063700); Feuerriegel, Stefan (53881265200)","57216863672; 56470814500; 57376296000; 36667063700; 53881265200","Addressing distributional shifts in operations management: The case of order fulfillment in customized production","2023","Production and Operations Management","32","10","","3022","3042","0","8","10.1111/poms.14021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164138029&doi=10.1111%2Fpoms.14021&partnerID=40&md5=3a2ff028acb6d69c8e627028f95c6c38","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85164138029"
"Fu, Y.; Li, H.; Huang, M.; Xiao, H.","Fu, Yaping (56281390100); Li, Haobin (57188761456); Huang, Min (8652589000); Xiao, Hui (56114731100)","56281390100; 57188761456; 8652589000; 56114731100","Bi-Objective Modeling and Optimization for Stochastic Two-Stage Open Shop Scheduling Problems in the Sharing Economy","2023","IEEE Transactions on Engineering Management","70","10","","3395","3409","0","37","10.1109/TEM.2021.3095954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115006983&doi=10.1109%2FTEM.2021.3095954&partnerID=40&md5=45e0716c1d78ea4ae4ad155dba004e18","Article","Final","","Scopus","2-s2.0-85115006983"
"Yousefi, S.; Baqeri, M.; Tosarkani, B.M.; Amin, S.H.; Zolfagharinia, H.","Yousefi, Samuel (56684564900); Baqeri, Majid (58534620500); Tosarkani, Babak Mohamadpour (57195773888); Amin, Saman Hassanzadeh (25649063200); Zolfagharinia, Hossein (55315162600)","56684564900; 58534620500; 57195773888; 25649063200; 55315162600","A decision support framework for sustainable production planning of paper recycling systems","2023","Computers and Industrial Engineering","183","","109500","","","0","9","10.1016/j.cie.2023.109500","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167798618&doi=10.1016%2Fj.cie.2023.109500&partnerID=40&md5=fb8c45ceeb51b791d2513a6eefde868f","Article","Final","","Scopus","2-s2.0-85167798618"
"Gholami, A.; Nezamoddini, N.; Khasawneh, M.T.","Gholami, Amirhosein (57212091303); Nezamoddini, Nasim (57189443223); Khasawneh, Mohammad T. (6603708930)","57212091303; 57189443223; 6603708930","Customized orders management in connected make-to-order supply chains","2023","Operations Management Research","16","3","","1428","1443","0","3","10.1007/s12063-023-00364-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151682193&doi=10.1007%2Fs12063-023-00364-1&partnerID=40&md5=d62a55f78d94fe76defd20757550ba12","Article","Final","","Scopus","2-s2.0-85151682193"
"Wang, H.-J.; Zhu, G.-Y.","Wang, Haojie (57760747000); Zhu, Guangyu (57198905220)","57760747000; 57198905220","Multiobjective Optimization for FJSP under Immediate Predecessor Constraints Based OFA and Pythagorean Fuzzy Set","2023","IEEE Transactions on Fuzzy Systems","31","9","","3108","3120","0","11","10.1109/TFUZZ.2023.3245097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149388883&doi=10.1109%2FTFUZZ.2023.3245097&partnerID=40&md5=e84a9d83a87c5a536600a657d1b87071","Article","Final","","Scopus","2-s2.0-85149388883"
"Vital-Soto, A.; Baki, M.F.; Azab, A.","Vital-Soto, Alejandro (57194177870); Baki, Mohammed Fazle (7003403469); Azab, Ahmed A. (23003337100)","57194177870; 7003403469; 23003337100","A multi-objective mathematical model and evolutionary algorithm for the dual-resource flexible job-shop scheduling problem with sequencing flexibility","2023","Flexible Services and Manufacturing Journal","35","3","","626","668","0","37","10.1007/s10696-022-09446-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124524461&doi=10.1007%2Fs10696-022-09446-x&partnerID=40&md5=27ccb5c183ef22e2511d9b0d06b9dcb5","Article","Final","","Scopus","2-s2.0-85124524461"
"Kovács, B.; Tassel, P.; Gebser, M.","Kovács, Benjamin (57315404600); Tassel, Pierre (57219335563); Gebser, Martin (23389002300)","57315404600; 57219335563; 23389002300","Optimizing dispatching strategies for semiconductor manufacturing facilities with genetic programming","2023","","","","","1374","1382","0","3","10.1145/3583131.3590402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167696164&doi=10.1145%2F3583131.3590402&partnerID=40&md5=1a9dec2dc000e68cbf225caf9d3b4cf4","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85167696164"
"Zeiträg, Y.; Figueira, J.R.","Zeiträg, Yannik (57202852766); Figueira, José Rui (7003315309)","57202852766; 7003315309","Automatically evolving preference-based dispatching rules for multi-objective job shop scheduling","2023","Journal of Scheduling","26","3","","289","314","0","9","10.1007/s10951-023-00783-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153772857&doi=10.1007%2Fs10951-023-00783-9&partnerID=40&md5=da948969ac84e483b18b145747993f21","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153772857"
"Skėrė, S.; Žvironienė, A.; Juzėnas, K.; Petraitiene, S.","Skėrė, Simona (57962773200); Žvironienė, Aušra (9338285700); Juzėnas, Kazimieras (13204779800); Petraitiene, Stase (15136935300)","57962773200; 9338285700; 13204779800; 15136935300","Optimization Experiment of Production Processes Using a Dynamic Decision Support Method: A Solution to Complex Problems in Industrial Manufacturing for Small and Medium-Sized Enterprises","2023","Sensors","23","9","4498","","","0","8","10.3390/s23094498","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159204910&doi=10.3390%2Fs23094498&partnerID=40&md5=6d8fb1f4410f601297b91dea3317b977","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85159204910"
"Annear, L.M.; Akhavan-Tabatabaei, R.; Schmid, V.","Annear, Luis Mauricio (57907064600); Akhavan-Tabatabaei, Raha (24334117300); Schmid, Verena (24825651400)","57907064600; 24334117300; 24825651400","Dynamic assignment of a multi-skilled workforce in job shops: An approximate dynamic programming approach","2023","European Journal of Operational Research","306","3","","1109","1125","0","13","10.1016/j.ejor.2022.08.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138803589&doi=10.1016%2Fj.ejor.2022.08.049&partnerID=40&md5=f891308507ffaa23d2fca762ea1ab965","Article","Final","","Scopus","2-s2.0-85138803589"
"Carlucci, D.; Renna, P.; Materi, S.","Carlucci, Daniela Carlucci (8711183100); Renna, Paolo (9279643000); Materi, Sergio (57204651474)","8711183100; 9279643000; 57204651474","A Job-Shop Scheduling Decision-Making Model for Sustainable Production Planning With Power Constraint","2023","IEEE Transactions on Engineering Management","70","5","","1923","1932","0","44","10.1109/TEM.2021.3103108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114734680&doi=10.1109%2FTEM.2021.3103108&partnerID=40&md5=c4ba62888ee521b003e64619a221ed4e","Article","Final","","Scopus","2-s2.0-85114734680"
"Pal, M.; Mittal, M.L.; Soni, G.; Chouhan, S.S.; Kumar, M.","Pal, Manojkumar (58043408900); Mittal, Murari Lal Lal (36721808800); Soni, Gunjan (26423256300); Chouhan, Satyendra Singh (55201344700); Kumar, Manish (57204617638)","58043408900; 36721808800; 26423256300; 55201344700; 57204617638","A multi-agent system for FJSP with setup and transportation times","2023","Expert Systems with Applications","216","","119474","","","0","30","10.1016/j.eswa.2022.119474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145661597&doi=10.1016%2Fj.eswa.2022.119474&partnerID=40&md5=f929a81729d0d988a6ad7f7bf1f96fa1","Article","Final","","Scopus","2-s2.0-85145661597"
"Gong, X.; Wang, S.; Jiao, R.J.; Gebraeel, N.","Gong, Xuejian (57200147459); Wang, Shu (57215263681); Jiao, Roger (Roger) (7004368712); Gebraeel, Nagi Z. (6507259235)","57200147459; 57215263681; 7004368712; 6507259235","Collaborative contracting for Manufacturing-as-a-Service (MaaS) by information content measurement and decision tree learning","2023","Advanced Engineering Informatics","56","","101911","","","0","7","10.1016/j.aei.2023.101911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149383898&doi=10.1016%2Fj.aei.2023.101911&partnerID=40&md5=7ab8890cc5aea9db774a204b1753a916","Article","Final","","Scopus","2-s2.0-85149383898"
"Jiang, S.-L.; Liu, Q.; Bogle, I.D.L.; Zheng, Z.","Jiang, Shenglong (56553515500); Liu, Qie (55762996800); Bogle, Ian David Lockhart (7004224932); Zheng, Zhong (35207778200)","56553515500; 55762996800; 7004224932; 35207778200","A Self-Learning Based Dynamic Multi-Objective Evolutionary Algorithm for Resilient Scheduling Problems in Steelmaking Plants","2023","IEEE Transactions on Automation Science and Engineering","20","2","","832","845","0","26","10.1109/TASE.2022.3168385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132539718&doi=10.1109%2FTASE.2022.3168385&partnerID=40&md5=0d9c4310d0a357f94ddb00a81ca617c4","Article","Final","","Scopus","2-s2.0-85132539718"
"Gholami, H.; Sun, H.","Gholami, Hadi (57218441403); Sun, Hongyang (24468812700)","57218441403; 24468812700","Toward automated algorithm configuration for distributed hybrid flow shop scheduling with multiprocessor tasks","2023","Knowledge-Based Systems","264","","110309","","","0","41","10.1016/j.knosys.2023.110309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147193306&doi=10.1016%2Fj.knosys.2023.110309&partnerID=40&md5=35362eebd9ac441696f73a72f99410b3","Article","Final","","Scopus","2-s2.0-85147193306"
"Jebari, H.; Rekiek, S.; Reklaoui, K.","Jebari, Hakim (58166537600); Rekiek, Siham (57205743763); Reklaoui, Kamal (57192641061)","58166537600; 57205743763; 57192641061","Improvement of Nature-Based Optimization Methods for Solving Job shop Scheduling Problems","2023","International Journal of Engineering Trends and Technology","71","3","","312","324","0","6","10.14445/22315381/IJETT-V71I3P232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151349836&doi=10.14445%2F22315381%2FIJETT-V71I3P232&partnerID=40&md5=79b993f9a75588cf3498ef59c0d130f8","Article","Final","","Scopus","2-s2.0-85151349836"
"Motahari, R.; Alavifar, Z.; Zare Andaryan, A.; Chipulu, M.; Saberi, M.","Motahari, Rasool (57223328904); Alavifar, Zeinolabedin (57983027400); Zare Andaryan, Abdullah (57211661061); Chipulu, Maxwell (23468411600); Saberi, Morteza H. (24723128200)","57223328904; 57983027400; 57211661061; 23468411600; 24723128200","A multi-objective linear programming model for scheduling part families and designing a group layout in cellular manufacturing systems","2023","Computers and Operations Research","151","","106090","","","0","20","10.1016/j.cor.2022.106090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142761498&doi=10.1016%2Fj.cor.2022.106090&partnerID=40&md5=76c253ba2e5d1db712c02221c644f67a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142761498"
"Zhang, Z.; David, J.; Liu, J.","Zhang, Zhifeng (55721941200); David, Janet (56513141200); Liu, Jun (57299437500)","55721941200; 56513141200; 57299437500","Batch sizing control of a flow shop based on the entropy-function theorems","2023","Expert Systems with Applications","213","","118958","","","0","2","10.1016/j.eswa.2022.118958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140739454&doi=10.1016%2Fj.eswa.2022.118958&partnerID=40&md5=4d6d99920deca413d87d5842fdc6e9a1","Article","Final","","Scopus","2-s2.0-85140739454"
"Ge, X.; Jin, Y.","Ge, Xianlong (55647754300); Jin, Yuanzhi (57219283180)","55647754300; 57219283180","Sustainability Oriented Vehicle Route Planning Based on Time-Dependent Arc Travel Durations","2023","Sustainability (Switzerland)","15","4","3208","","","0","5","10.3390/su15043208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149271803&doi=10.3390%2Fsu15043208&partnerID=40&md5=fbc8cd556fca65714e656901a6bd83a7","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85149271803"
"Song, W.; Chen, X.; Li, Q.; Cao, Z.","Song, Wen (57193495266); Chen, Xinyang (57807673700); Li, Qiqiang (7405859484); Cao, Zhiguang (56438458900)","57193495266; 57807673700; 7405859484; 56438458900","Flexible Job-Shop Scheduling via Graph Neural Network and Deep Reinforcement Learning","2023","IEEE Transactions on Industrial Informatics","19","2","","1600","1610","0","306","10.1109/TII.2022.3189725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134304558&doi=10.1109%2FTII.2022.3189725&partnerID=40&md5=7868757d9aaead2e8534402089d57bb6","Article","Final","","Scopus","2-s2.0-85134304558"
"Hoebert, T.; Lepuschitz, W.; Vincze, M.; Merdan, M.","Hoebert, Timon (57209251224); Lepuschitz, Wilfried (25823251500); Vincze, Markus (7003730710); Merdan, Munir (16022578100)","57209251224; 25823251500; 7003730710; 16022578100","Knowledge-driven framework for industrial robotic systems","2023","Journal of Intelligent Manufacturing","34","2","","771","788","0","23","10.1007/s10845-021-01826-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113135885&doi=10.1007%2Fs10845-021-01826-8&partnerID=40&md5=601104b61efa8067b2db408512fce836","Article","Final","","Scopus","2-s2.0-85113135885"
"Liu, Z.; McCardle, J.G.; Kull, T.J.; Krumwiede, D.","Liu, Zhongzhi (57221085810); McCardle, Jie G. (57208394637); Kull, Thomas J. (15127301400); Krumwiede, Dennis W. (6603382715)","57221085810; 57208394637; 15127301400; 6603382715","Examining the Technical and Social Foundations of Mass Customization Capability: A Capability Hierarchy View","2023","IEEE Transactions on Engineering Management","70","2","","644","659","0","14","10.1109/TEM.2021.3061216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103235529&doi=10.1109%2FTEM.2021.3061216&partnerID=40&md5=276b5ec0346334c8ea7632f64cdd248f","Article","Final","","Scopus","2-s2.0-85103235529"
"Tomidei, L.; Sick, N.; Deuse, J.; Guertler, M.","Tomidei, Laura (57204632092); Sick, Nathalie (53464344800); Deuse, Jochen (24437696400); Guertler, Matthias Rudolf (57204216952)","57204632092; 53464344800; 24437696400; 57204216952","Extracting Key Value Streams Using Process Mining and Machine Learning","2023","","","","","","","0","1","10.1109/IEEECONF58110.2023.10520644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193946158&doi=10.1109%2FIEEECONF58110.2023.10520644&partnerID=40&md5=1ab0e42564d2a18a6b8d38156dde00e4","Conference paper","Final","","Scopus","2-s2.0-85193946158"
"Xu, B.; Guertler, M.; Sick, N.","Xu, Bochao (59139198900); Guertler, Matthias Rudolf (57204216952); Sick, Nathalie (53464344800)","59139198900; 57204216952; 53464344800","Analyzing Industry 4.0 Adoption Barriers of Small and Medium-sized Enterprises and Existing Support","2023","","","","","","","0","3","10.1109/IEEECONF58110.2023.10520600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193923650&doi=10.1109%2FIEEECONF58110.2023.10520600&partnerID=40&md5=efb4fa7238ceff58f350ae725aead81d","Conference paper","Final","","Scopus","2-s2.0-85193923650"
"Wang, Z.; Liao, W.","Wang, Ziqing (58347528800); Liao, Wenzhu (23974947900)","58347528800; 23974947900","Job Shop Scheduling Problem Using Proximal Policy Optimization","2023","","","","","1517","1521","0","1","10.1109/IEEM58616.2023.10406397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186102438&doi=10.1109%2FIEEM58616.2023.10406397&partnerID=40&md5=034eb78f542313965951764209b91ed3","Conference paper","Final","","Scopus","2-s2.0-85186102438"
"Ghasemi, A.; Yeganeh, Y.T.; Matta, A.; Kabak, K.E.; Heavey, C.","Ghasemi, Amir (57190121746); Yeganeh, Yavar Taheri (57820211500); Matta, Andrea (22958611800); Kabak, Kamil Erkan (24587842500); Heavey, Cathal (6603835699)","57190121746; 57820211500; 22958611800; 24587842500; 6603835699","Deep Learning Enabling Digital Twin Applications in Production Scheduling: Case of Flexible Job Shop Manufacturing Environment","2023","Proceedings - Winter Simulation Conference","","","","2148","2159","0","2","10.1109/WSC60868.2023.10407811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185377333&doi=10.1109%2FWSC60868.2023.10407811&partnerID=40&md5=a8dad399d64f39cb8c150d878ba7094f","Conference paper","Final","","Scopus","2-s2.0-85185377333"
"Slot, M.; Navis, E.; Damgrave, R.; Lutters, E.","Slot, Maaike (57219207494); Navis, Erik (58876185000); Damgrave, Roy (35745552100); Lutters, Eric (57224534292)","57219207494; 58876185000; 35745552100; 57224534292","Versatile information provisioning in a configure-to-order production environment; a case study","2023","Procedia CIRP","120","","","1469","1474","0","2","10.1016/j.procir.2023.09.195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184600948&doi=10.1016%2Fj.procir.2023.09.195&partnerID=40&md5=e9c8b1ca72f09c06b77f9d170442af78","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85184600948"
"Zhang, Y.; Zhang, Y.; Qian, Z.; Xu, Y.","Zhang, Ying (58864934500); Zhang, Yuli (58864382300); Qian, Zhichao (58864777400); Xu, Yang (57195529441)","58864934500; 58864382300; 58864777400; 57195529441","STRATEGY OPTIMIZATION FOR COMMUNITY CANTEEN OPERATIONS BASED ON MASS CUSTOMIZATION","2023","Proceedings of International Conference on Computers and Industrial Engineering, CIE","1","","","50","57","0","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184100459&partnerID=40&md5=4ddc2fed642da54e33ab3fd2307ef3fb","Conference paper","Final","","Scopus","2-s2.0-85184100459"
"Shiau, J.-Y.; Lin, J.-C.; Jiang, P.-R.","Shiau, Jiun Yan (9244076700); Lin, Jui Chuan (58787211700); Jiang, Peirou (58787043600)","9244076700; 58787211700; 58787043600","DISPATCHING RULES FOR SCHEDULING PRODUCT PORTFOLIOS","2023","International Journal of Industrial Engineering : Theory Applications and Practice","30","6","","1395","1410","0","0","10.23055/ijietap.2023.30.6.8843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181022343&doi=10.23055%2Fijietap.2023.30.6.8843&partnerID=40&md5=bf3fd4be37415d856e4c623a64c15d2f","Article","Final","","Scopus","2-s2.0-85181022343"
"Saha, R.; Shikder, A.A.R.; Hasan, M.; Emon, J.H.; Hossain, M.A.; Siddiquee, M.A.B.","Saha, Rijon (58704680400); Shikder, Abdullah Al Rakib (58155737300); Hasan, Mahmudul Aziz F.M.R. (57672837700); Emon, Jabed Hossen (58164815400); Hossain, Md Anwar (57207269213); Siddiquee, Md Abu Bakar (57215764070)","58704680400; 58155737300; 57672837700; 58164815400; 57207269213; 57215764070","Implementation of Quality Control Tools in Woven Shirt Mass Customization for Enhancing Product Quality","2023","Textile and Leather Review","6","","","667","685","0","0","10.31881/TLR.2023.126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177424719&doi=10.31881%2FTLR.2023.126&partnerID=40&md5=d908759ce473eb6cc5d7245d0f6482a9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85177424719"
"Ji, S.; Yan, J.","Ji, Siyang (58143630400); Yan, Jihong (35301440800)","58143630400; 35301440800","Scheduling Optimization of Flexible Workshop Dynamics Based on Big Data","2023","","","","","","","0","1","10.1109/ICAC57885.2023.10275281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175524667&doi=10.1109%2FICAC57885.2023.10275281&partnerID=40&md5=3b532fa7136d96a2ec0870cd72237c47","Conference paper","Final","","Scopus","2-s2.0-85175524667"
"Brzozowska, J.; Pizoń, J.; Baitikenova, G.; Gola, A.; Zakimova, A.; Piotrowska, K.","Brzozowska, Jolanta (57226110644); Pizoń, Jakub (57350407300); Baitikenova, Gulzhan (58039441800); Gola, Arkadiusz (53863584700); Zakimova, Alfiya (57208010188); Piotrowska, Katarzyna (57207944863)","57226110644; 57350407300; 58039441800; 53863584700; 57208010188; 57207944863","DATA ENGINEERING IN CRISP-DM PROCESS PRODUCTION DATA – CASE STUDY","2023","Applied Computer Science","19","3","","83","95","0","13","10.35784/acs-2023-26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175329046&doi=10.35784%2Facs-2023-26&partnerID=40&md5=8516ccf3e8170dccc5644954c861864b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85175329046"
"Dai, D.","Dai, Daqi (57216255229)","57216255229","A Non Inferior Set Optimization Model For Multi-objective Problems","2023","","","","","262","267","0","0","10.1109/ICSP58490.2023.10248706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174489528&doi=10.1109%2FICSP58490.2023.10248706&partnerID=40&md5=e64c82e33bbd23375e4ebb153dfb4478","Conference paper","Final","","Scopus","2-s2.0-85174489528"
"Workneh, A.D.; Gmira, M.","Workneh, Abebaw Degu (58030153000); Gmira, Maha (57216770774)","58030153000; 57216770774","Deep Q Network Method for Dynamic Job Shop Scheduling Problem","2023","Lecture Notes in Networks and Systems","771 LNNS","","","137","155","0","4","10.1007/978-3-031-43524-9_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174437189&doi=10.1007%2F978-3-031-43524-9_10&partnerID=40&md5=8deb49d2cea9a791cf65ed23cf338094","Conference paper","Final","","Scopus","2-s2.0-85174437189"
"Ostertag, T.; Hariharan, A.; Bachthaler, N.","Ostertag, Tobias (58161469000); Hariharan, Anuja (56319274900); Bachthaler, Nico (58619209200)","58161469000; 56319274900; 58619209200","Exploring the Added Value of Additive Manufacturing in Sales Processes of Mass Customization Products","2023","Lecture Notes in Mechanical Engineering","","","","186","194","0","1","10.1007/978-3-031-34821-1_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172391287&doi=10.1007%2F978-3-031-34821-1_21&partnerID=40&md5=91a49dcfc444318e4cb41574ad9eba04","Conference paper","Final","","Scopus","2-s2.0-85172391287"
"Turner, F.; Watts, M.","Turner, Frances (57210124124); Watts, Marie (57346530100)","57210124124; 57346530100","Can the Mass Customization Co-design Toolkit Help Healthcare Practitioners Reduce Bias and Achieve Better Patient Outcomes?","2023","Lecture Notes in Mechanical Engineering","","","","164","176","0","0","10.1007/978-3-031-34821-1_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172377733&doi=10.1007%2F978-3-031-34821-1_19&partnerID=40&md5=8f2550a7a373022f1651652e86c6d945","Conference paper","Final","","Scopus","2-s2.0-85172377733"
"Plappert, S.; Becker, C.; Pusch, F.; Heuer, S.; Gembarski, P.C.","Plappert, Stefan (57211159482); Becker, Christian R. (57225752577); Pusch, Felix (58609333400); Heuer, Sören (58620482300); Gembarski, Paul Christoph (56440017500)","57211159482; 57225752577; 58609333400; 58620482300; 56440017500","Recommendation of Mass Customized Products with a Multi-agent System: A Case Study","2023","Lecture Notes in Mechanical Engineering","","","","93","100","0","0","10.1007/978-3-031-34821-1_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172359432&doi=10.1007%2F978-3-031-34821-1_11&partnerID=40&md5=3ad6402fef1b08a65900439aa22ded70","Conference paper","Final","","Scopus","2-s2.0-85172359432"
"Naldi, L.D.; Galizia, F.G.; Bortolini, M.","Naldi, Ludovica Diletta (57219162102); Galizia, Francesco Gabriele (57195803564); Bortolini, Marco (54779261700)","57219162102; 57195803564; 54779261700","Production Strategy Selection in the Mass Customization Era Using Analytic Network Process","2023","Lecture Notes in Mechanical Engineering","","","","83","92","0","0","10.1007/978-3-031-34821-1_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172319516&doi=10.1007%2F978-3-031-34821-1_10&partnerID=40&md5=ff84b338438db350f1bdac14705c2746","Conference paper","Final","","Scopus","2-s2.0-85172319516"
"Narayanan, A.; Pournaras, E.; Nardelli, P.H.J.","Narayanan, Arun (56533337800); Pournaras, Evangelos (23978483400); Nardelli, Pedro Henrique Juliano (24781106100)","56533337800; 23978483400; 24781106100","Collective Learning for Energy-centric Flexible Job Shop Scheduling","2023","IEEE International Symposium on Industrial Electronics","2023-June","","","","","0","1","10.1109/ISIE51358.2023.10228029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172112008&doi=10.1109%2FISIE51358.2023.10228029&partnerID=40&md5=8db78c7ab647440d1ccd05e90a50c380","Conference paper","Final","","Scopus","2-s2.0-85172112008"
"Jayabalan, J.; Katariya, J.K.; Bharadwaj, S.","Jayabalan, Bhuvana (57188976203); Katariya, Jitendra Kumar (58204830100); Bharadwaj, Shambhu (58136405800)","57188976203; 58204830100; 58136405800","OPTIMIZING PRODUCTION SCHEDULING THROUGH HYBRID DYNAMIC GENETIC-ADAPTIVE IMPROVED GRAVITATIONAL OPTIMIZATION ALGORITHM","2023","Proceedings on Engineering Sciences","5","S1","","79","88","0","2","10.24874/PES.SI.01.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171432631&doi=10.24874%2FPES.SI.01.010&partnerID=40&md5=b99ff6ab8c63a40c84c42e9382c96421","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171432631"
