"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source","EID"
"Elyasi, M.; Selcuk, Y.S.; Özener, O.Ö.; Çoban, E.","Elyasi, Milad (57209474509); Selcuk, Yagmur Selenay (58504323800); Özener, Okan Örsan (57215569521); Çoban, Elvin (36245330800)","57209474509; 58504323800; 57215569521; 36245330800","Imperialist competitive algorithm for unrelated parallel machine scheduling with sequence-and-machine-dependent setups and compatibility and workload constraints","2024","12","10.1016/j.cie.2024.110086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188710439&doi=10.1016%2Fj.cie.2024.110086&partnerID=40&md5=4b559f5de61cacd0edca720a93648a4d","In this paper, we present an in-depth analysis of the unrelated parallel machine scheduling problem (UPMSP) in the context of washing machine production at Vestel Electronics. Vestel Electronics is a leading producer of washing machines and holds a noteworthy market position in the European consumer electronics industry. The production process at Vestel Electronics is make-to-order (MTO) and requires 20 assembly lines to produce 200 different products. The decision maker must consider several important factors while forming the production schedule, including job-assembly line compatibility, the release times and due dates of the jobs, and a workload balance among the different assembly lines. This study aims to develop an algorithm to minimize the total earliness and tardiness while considering sequence-and-machine-dependent setups, unequal release times, machine-job compatibility restrictions, and workload balance requirements. To address this complex scheduling problem, we propose a novel algorithm, the imperialist competitive algorithm (ICA), which has a strong exploration–exploitation balance while mimicking real-world dynamics. Our numerical results show that the ICA significantly outperforms the current practice in Vestel by 39% and the best-performing algorithms in the literature by 23% and 12%. © 2024 Elsevier B.V., All rights reserved.","Imperialist competitive algorithm; Machine workload; Machine-job compatibility; Sequence-and-machine-dependent setup times; Unrelated parallel machine scheduling","Assembly machines; Decision making; Job shop scheduling; Production control; Production efficiency; Scheduling algorithms; Washing; Assembly line; Imperialist competitive algorithms; Machine workload; Machine-dependent setup time; Machine-job compatibility; Parallel machines scheduling; Release time; Sequence-and-machine-dependent setup time; Unrelated parallel machine scheduling; Unrelated parallel machines; Assembly","Article","Scopus","2-s2.0-85188710439"
"Salatiello, E.; Vespoli, S.; Guizzi, G.; Grassi, A.","Salatiello, Emma (57926003100); Vespoli, Silvestro (57200013194); Guizzi, Guido (57192642528); Grassi, Andrea (55828149363)","57926003100; 57200013194; 57192642528; 55828149363","Long-sighted dispatching rules for manufacturing scheduling problem in Industry 4.0 hybrid approach","2024","11","10.1016/j.cie.2024.110006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186537548&doi=10.1016%2Fj.cie.2024.110006&partnerID=40&md5=17c4b0f148531472ee1d19b5cd041bee","The introduction of Cyber–Physical Systems, the implementation of machine learning, and the proposal of other technologies are some of the main features of Industry 4.0, which aims to change the way of production by introducing more flexibility and more autonomous decision-making by machines. The presence of centralized and decentralized systems and the continuous change in the market scenario has led to a transition of production systems from highly centralized or decentralized processes to a hybrid architecture that incorporated advantages of the production control approaches. The analysis of the production performances of recent semi-heterarchical architectures encourage to assess these architectures by introducing new scheduling approach that overcome the risk to take a myopic perspective: the long-sighted approach. To this aim, two new dispatching rules are proposed, both evaluated with different variability. This is significant because it allows the measurement of the performance of the production system, as well as the definition of the reactive and proactive capacity of semi-heterarchical architectures in an increasingly competitive market. © 2024 Elsevier B.V., All rights reserved.","Decentralized; Industry4.0; Manufacturing; Mass customization; Scheduling","Commerce; Decision making; Production control; Risk assessment; Decentralised; Dispatching rules; Hybrid approach; Industry4.0; Manufacturing; Manufacturing scheduling; Mass customization; Production system; Scheduling; Scheduling problem; Industry 4.0","Article","Scopus","2-s2.0-85186537548"
"Lu, S.; Ma, C.; Liu, X.; Pardalos, P.M.","Lu, Shaojun (57200081390); Ma, Chongyao (58733563800); Liu, Xinbao (27170069000); Pardalos, Panos M. (7005330875)","57200081390; 58733563800; 27170069000; 7005330875","Scheduling identical serial-batching machines in the engine manufacturing supply chain by an integrated variable neighborhood search algorithm","2024","9","10.1016/j.cor.2024.106552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183147594&doi=10.1016%2Fj.cor.2024.106552&partnerID=40&md5=28ea2b368cf81e3066283e47d1866aea","The optimization of the high-end equipment manufacturing process is becoming progressively more difficult, which brings a big challenge for high-end equipment manufacturers. Numerous variables, such as equipment wear and tear, the service level of the supply chain, etc., may have a significant impact on the efficiency of high-end equipment manufacturing. In this paper, motivated by the need to improve the productivity of engines, we study a scheduling problem considering the deterioration effect, component parts supply, and parallel serial-batch processing machines. The job processing time is sum-of-actual-processing-time-dependent and the set-up time of a batch is time-dependent. The objective is to minimize the makespan. Firstly, we analyze the structural properties of the problem under two special cases. Then, a dynamic programming (DP) algorithm is proposed to group the jobs into batches, and two heuristic algorithms are designed to improve the job sequence based on the structural properties. Algorithm 3 is proposed to provide a lower bound for the investigated problem. Next, we develop a variable neighborhood search algorithm (VNS-H) which integrates the DP algorithm, heuristic algorithms, and four local search strategies. Extensive computational experiments are conducted to validate the performance of the proposed algorithm. The results show that the VNS-H algorithm solves the proposed problem effectively and outperforms other involved metaheuristics. The proposed methods in this work can provide manufacturers with useful decision-making support that improves production efficiency and reduces operational costs. © 2024 Elsevier B.V., All rights reserved.","Deterioration effect; Engine manufacture; Optimization; Parallel machines; Ready time; Scheduling","Batch data processing; Decision making; Dynamic programming; Engines; Heuristic algorithms; Job shop scheduling; Learning algorithms; Production efficiency; Scheduling algorithms; Structural properties; Supply chains; Deterioration effect; Engine manufacture; Equipment manufacturing; Neighborhood search algorithms; Optimisations; Parallel machine; Ready time; Scheduling; Time dependent; Variable neighborhood search; Deterioration","Article","Scopus","2-s2.0-85183147594"
"Huang, J.-P.; Gao, L.; Li, X.-Y.","Huang, Jiangping (57211888630); Gao, Liang (56406738100); Li, Xinyu (56021323400)","57211888630; 56406738100; 56021323400","An end-to-end deep reinforcement learning method based on graph neural network for distributed job-shop scheduling problem","2024","62","10.1016/j.eswa.2023.121756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173449143&doi=10.1016%2Fj.eswa.2023.121756&partnerID=40&md5=b079856506d059908f712d0b20417395","Distributed Job-shop Scheduling Problem (DJSP) is a hotspot in industrial and academic fields due to its valuable application in the real-life productions. For DJSP, the available methods aways complete the job selection first and then search for an appropriate factory to assign the selected job, which means job selection and job assignment are done independently. This paper proposes an end-to-end Deep Reinforcement Learning (DRL) method to make the two decisions simultaneously. To capture the problem characteristics and realize the objective optimization, the Markov Decision Process (MDP) of DJSP is formulated. Specialised action space made up of operation-factory pairs is designed to achieve the simultaneous decision-making. A stitched disjunctive graph representation of DJSP is specially designed, and a Graph Neural Network (GNN) based feature extraction architecture is proposed to dig the state embedding during problem solving. A Proximal Policy Optimization (PPO) method is applied to train an action-selection policy. To further lead the agent to assign jobs to the factory with smaller makespan, a probability enhancement mechanism is designed. The experimental results on 240 test instances have shown that the proposed method outperforms 8 classical Priority Dispatching Rules (PDRs), 3 closely-related RL methods and 5 metaheuristics in terms of effectiveness, stability and generalization. © 2023 Elsevier B.V., All rights reserved.","Distributed job shop; Distributed scheduling; Reinforcement learning; Scheduling","Behavioral research; Decision making; Deep learning; Job shop scheduling; Learning systems; Markov processes; Distributed job; Distributed job shop; Distributed scheduling; End to end; Graph neural networks; Job shop scheduling problems; Job-shop; Reinforcement learning method; Reinforcement learnings; Scheduling; Reinforcement learning","Article","Scopus","2-s2.0-85173449143"
"Serrano-Ruiz, J.C.; Mula, J.; Poler, R.","Serrano-Ruiz, Julio C. (57354419800); Mula, Josefa (57200788653); Poler, Raul (22734966200)","57354419800; 57200788653; 22734966200","Job shop smart manufacturing scheduling by deep reinforcement learning","2024","31","10.1016/j.jii.2024.100582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185201017&doi=10.1016%2Fj.jii.2024.100582&partnerID=40&md5=34b737174989858b5530c40de1242fdc","Smart manufacturing scheduling (SMS) requires a high degree of flexibility to successfully cope with changes in operational decision level planning processes in today's production environments, which are usually subject to high uncertainty. In such a unique and complex scenario as the real job shop, the modelling of SMS as a Markov decision process (MDP), and its approach by deep reinforcement learning (DRL), is a research field of growing interest given its characteristics. It allows us to consider achieving high flexibility levels by promoting process automation, autonomy in decision making, and the ability to act in real time when faced with disturbances and disruptions in a highly dynamic environment. This paper addresses the problem of scheduling a quasi-realistic job shop environment characterised by machines receiving jobs from buffers that accumulate numerous jobs using a wide variety of parts and multimachine routes with a diverse number of operation phases by developing a digital twin of the job shop based on a MDP with the DRL methodology. This is approached by: modelling the job shop scheduling environment with OpenAI Gym; designing an observation space with 18 job features; designing an action space composed of three priority heuristic rules; shaping a single reward function with a multi-objective characteristic; using the implementation of the proximal policy optimisation (PPO) algorithm from the Stable Baselines 3 library. This modelling approach, dubbed as job shop smart manufacturing scheduling (JS-SMS), is characterised by deterministic formulation and implementation. The model is subjected to validation by comparing it to several of the best-known heuristic priority rules. The main findings of this methodology allow to replicate, to a great extent, the positive aspects of heuristic rules and to mitigate the negative ones, which achieves more balanced behaviour in most of the measures established as performance indicators and outperforms heuristic rules from this multi-objective perspective. Finally, further research is oriented to dynamic and stochastic approaches to address the job shop reality in an Industry 4.0 context. © 2024 Elsevier B.V., All rights reserved.","Deep reinforcement learning; Digital twin; Industry 4.0; Job shop; Smart manufacturing scheduling","Behavioral research; Decision making; Deep learning; E-learning; Flow control; Heuristic methods; Industry 4.0; Job shop scheduling; Markov processes; Stochastic systems; Deep reinforcement learning; Degree of flexibility; Heuristic rules; Job-shop; Manufacturing scheduling; Markov Decision Processes; Multi objective; Reinforcement learnings; Smart manufacturing; Smart manufacturing scheduling; Reinforcement learning","Article","Scopus","2-s2.0-85185201017"
"Tian, S.; Zhang, C.; Fan, J.; Li, X.-Y.; Gao, L.","Tian, Shichen (58486679100); Zhang, Chunjiang Jiang (55532751700); Fan, Jiaxin (57215412296); Li, Xinyu (56021323400); Gao, Liang (56406738100)","58486679100; 55532751700; 57215412296; 56021323400; 56406738100","A genetic algorithm with critical path-based variable neighborhood search for distributed assembly job shop scheduling problem","2024","29","10.1016/j.swevo.2024.101485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183450109&doi=10.1016%2Fj.swevo.2024.101485&partnerID=40&md5=be7e84ad7e811d8859ee928fa06ac557","Production scheduling in distributed manufacturing systems has become an active research field, where large-sized complicated products, such as airplanes and ships, are taken as the primary focus. This paper investigates a distributed assembly job shop scheduling problem (DAJSP) which consists of two production phases. The first stage processes components in several job shops, and the second stage assembles the processed parts into final products. First, a mixed integer linear programming (MILP) model is established to describe the problem with minimizing maximum completion time and find optimal schedules for small-scale scenarios. Afterwards, a genetic algorithm with variable neighborhood search (GA-VNS) is proposed to address more complex instances, which adopts the genetic algorithm as the main framework and employs the variable neighborhood search for exploration. A problem-specific three-vector encoding scheme is designed to represent three decision-making processes of the DAJSP accordingly. To improve candidate solutions, a disjunctive graph model for DAJSP is formulated and three critical path-based neighborhood structures which directly perform on encoding vectors are designed. Numerical experiments are conducted on four groups of instances with different scales and the experimental results demonstrate the effectiveness of the proposed MILP model and GA-VNS. To sum up, the proposed GA-VNS shows the best performance on 30 instances out of 40 instances, while the superior stability has also been proved by statistical tests. In addition, two complicated DAJSP cases are abstracted from an enterprise for fabricating large complex components to further validate the GA-VNS. © 2024 Elsevier B.V., All rights reserved.","Critical path; Distributed assembly job shop scheduling; Genetic algorithm; Mixed integer linear programming; Variable neighborhood search","Assembly; Decision making; Encoding (symbols); Genetic algorithms; Graph theory; Industrial research; Integer programming; Production control; Scheduling algorithms; Signal encoding; Assembly Job Shop; Critical Paths; Distributed assembly job shop scheduling; Integer Linear Programming; Job shop scheduling problems; Job-Shop scheduling; Mixed integer linear; Mixed integer linear programming; Path-based; Variable neighborhood search; Job shop scheduling","Article","Scopus","2-s2.0-85183450109"
"Wang, W.; Li, Q.; Zhu, F.","Wang, Wenle (25932330700); Li, Qilong (58829597900); Zhu, Fuwen (58829598000)","25932330700; 58829597900; 58829598000","Association rules combined fuzzy decision quality control technology in intelligent manufacturing","2024","4","10.1016/j.iswa.2024.200331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182912990&doi=10.1016%2Fj.iswa.2024.200331&partnerID=40&md5=2e55b1c780f10fe51bb3107eacf431ed","In the context of the rapid development of intelligent manufacturing, effective quality control has become the key to improving manufacturing efficiency and product quality. Traditional quality control methods are often inadequate when faced with complex production data and changing manufacturing environments. Therefore, exploring new intelligent quality control technologies to cope with these challenges in intelligent manufacturing has become an important research direction. In view of this, the study proposed a quality control technology that combines association rules and fuzzy decision-making. Firstly, association rule mining methods are used to analyze production data and extract the relationships between key quality factors. Secondly, based on these association rules, fuzzy decision technology is used to adjust and optimize the production process, ultimately achieving quality control of products in the intelligent manufacturing production process. The data showed that when running on the training set and validation set, the research method reached a stable state at 18 and 46 iterations of the system, respectively, with a minimum cost loss function value. In both batch production lines, the detection efficiency under the operation of the research method remained at 2200 units per minute. During the process of repeating the system for 6 times, the research method consistently achieved maximum control accuracy and minimum time consumption. The satisfaction of the four experts with the operation of the research method in small batch production and large batch production was 9.32 and 9.2, respectively, significantly higher than other algorithms. The above results indicated that the proposed method can effectively improve the efficiency of product quality control, reduce production costs, and ultimately reduce the rate of defective products in the production process. © 2024 Elsevier B.V., All rights reserved.","Association rules; Fuzzy decision-making; Intelligent manufacturing; Production; Quality control","Association rules; Decision making; Industrial research; Production efficiency; Quality assurance; Batch production; Control technologies; Decision quality; Fuzzy decision; Fuzzy Decision making; Intelligent Manufacturing; Manufacturing efficiency; Production data; Production process; Research method; Quality control","Article","Scopus","2-s2.0-85182912990"
"da Silva, D.M.P.; Inoue, R.S.; Kato, E.R.R.","da Silva, Diana Marimoto Prause (58532936900); Inoue, Roberto Santos (24172762700); Kato, Edilson Reis Rodrigues (7102677927)","58532936900; 24172762700; 7102677927","Scheduling choice method for flexible job shop problems using a fuzzy decision maker","2024","4","10.1016/j.iswa.2023.200302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178026266&doi=10.1016%2Fj.iswa.2023.200302&partnerID=40&md5=86b08bbba2bb670f457c4d783a1e5dc7","The Flexible Job Shop Scheduling Problem (FJSP) emerges as a challenging extension of the classic Job Shop, presenting NP-Hard characteristics. In the FJSP, a set of jobs, comprising multiple operations, must be allocated to a predefined set of machines, each with its respective execution times. The distribution of operations across machines significantly impacts scheduling efficiency, which can be evaluated and optimized based on various performance criteria and objectives. To address this complex problem, a multi-objective optimization algorithm is employed, focusing on three main performance criteria: completion time of all operations (Makespan), load assigned to the most heavily utilized machine, and the sum of loads across all machines. An FJSP algorithm based on the Artificial Bee Colony (ABC) metaheuristic (FJSP. ABC) generates a Pareto set comprising non-dominated and dominated solutions. These solutions represent optimal or near-optimal production schedules and offer diverse representations, such as Gantt charts. However, the decision-making process for selecting the best production schedule from the Pareto set demands additional considerations. To this end, we propose adopting a decision-making (DM) algorithm based on Fuzzy TOPSIS (Technique for Order of Preference by Similarity to the Ideal Solution in a Fuzzy environment). The DM Fuzzy TOPSIS algorithm accommodates the inclusion of variables not covered by the FJSP algorithm and aids decision-makers in identifying the most suitable production schedule based on the specific requirements of the production system. These additional variables may include maximizing or minimizing machine idleness, balancing the load of operations on machines, etc. Experimental results demonstrate that the application of the proposed algorithm yields values close to the expected outcomes for the analyzed variables proposed. The DM Fuzzy TOPSIS algorithm proves to be a valuable tool for supporting decision-making in production systems, assisting in the selection of the best production schedule among the optimal or near-optimal solutions obtained from the Pareto set. By integrating multi-objective optimization and decision-making techniques, this research contributes to more efficient and informed production scheduling practices, ultimately enhancing overall system performance. © 2023 Elsevier B.V., All rights reserved.","Artificial bee colony; Decision maker; FJSP; Fuzzy TOPSIS; Multiobjective optimization; Pareto frontier","Balancing; Decision making; Job shop scheduling; Production control; Artificial bee colony; Artificial bees; Decision makers; Decisions makings; Flexible job-shop scheduling problem; fuzzy-TOPSIS; Multi-objectives optimization; Pareto frontiers; Pareto set; Production schedule; Multiobjective optimization","Article","Scopus","2-s2.0-85178026266"
"Wang, R.; Wang, G.; Sun, J.; Deng, F.; Chen, J.","Wang, Runqing (58304875400); Wang, Gang (57198492845); Sun, Jian (57756608100); Deng, Fang (57204554773); Chen, Jie (35203009200)","58304875400; 57198492845; 57756608100; 57204554773; 35203009200","Flexible Job Shop Scheduling via Dual Attention Network-Based Reinforcement Learning","2024","65","10.1109/TNNLS.2023.3306421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171754780&doi=10.1109%2FTNNLS.2023.3306421&partnerID=40&md5=6438b12836533972992766f450a11620","Flexible manufacturing has given rise to complex scheduling problems such as the flexible job shop scheduling problem (FJSP). In FJSP, operations can be processed on multiple machines, leading to intricate relationships between operations and machines. Recent works have employed deep reinforcement learning (DRL) to learn priority dispatching rules (PDRs) for solving FJSP. However, the quality of solutions still has room for improvement relative to that by the exact methods such as OR-Tools. To address this issue, this article presents a novel end-to-end learning framework that weds the merits of self-attention models for deep feature extraction and DRL for scalable decision-making. The complex relationships between operations and machines are represented precisely and concisely, for which a dual-attention network (DAN) comprising several interconnected operation message attention blocks and machine message attention blocks is proposed. The DAN exploits the complicated relationships to construct production-adaptive operation and machine features to support high-quality decision-making. Experimental results using synthetic data as well as public benchmarks corroborate that the proposed approach outperforms both traditional PDRs and the state-of-the-art DRL method. Moreover, it achieves results comparable to exact methods in certain cases and demonstrates favorable generalization ability to large-scale and real-world unseen FJSP tasks. © 2024 Elsevier B.V., All rights reserved.","Deep reinforcement learning (DRL); flexible job-shop scheduling; graph attention networks (GATs); self-attention mechanism","Complex networks; Decision making; Deep learning; Extraction; Job analysis; Job shop scheduling; Reinforcement learning; Attention mechanisms; Decisions makings; Deep reinforcement learning; Features extraction; Flexible job-shop scheduling; Graph attention network; Job-Shop scheduling; Manufacturing; Reinforcement learnings; Self-attention mechanism; Task analysis; Feature extraction; article; attention; attention network; decision making; feature extraction; learning; reinforcement (psychology)","Article","Scopus","2-s2.0-85171754780"
"Zhang, K.; Xia, T.; Si, G.; Gebraeel, N.; Wang, D.; Pan, E.; Xi, L.","Zhang, Kaigan (57218863729); Xia, Tangbin (26041248600); Si, Guojin (57206669310); Gebraeel, Nagi Z. (6507259235); Wang, Dong (56342707500); Pan, Ershun (7006567662); Xi, Lifeng (57093169100)","57218863729; 26041248600; 57206669310; 6507259235; 56342707500; 7006567662; 57093169100","A Collaborative Scheduling Algorithm for Real-Time Production and Opportunistic Maintenance Under Cloud Manufacturing Paradigm","2024","3","10.1109/TR.2023.3311625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171535894&doi=10.1109%2FTR.2023.3311625&partnerID=40&md5=3af447471d28ce9f3f8c41584ec0fb27","Nowadays, with the rapidly growing size of random orders and machine scales, cloud manufacturing (CMfg) is suffering from complex difficulties in scheduling enormous production services in real time. Especially when coupled with preventive maintenance (PM) scheduling for massive distributed machines, most current methods fail to promise agility and effectiveness simultaneously under this service-oriented paradigm. Therefore, this article aims to propose a collaborative scheduling algorithm to support real-time production and opportunistic maintenance (OM) in the highly dynamic CMfg environment. First, a novel collaborative scheduling model that combines real-time production and PM decision-making is formulated. Then, to address significant complexity in production scheduling, a dynamic suborder-oriented scheduling (DSS) strategy is designed to utilize frequent triggered events for allocating optimal manufacturing services in real time. Then, for improving computational capability in PM decision-making, a production-driven PM policy with two stage adjustment (TSA) is developed to adopt suborder changeovers as PM opportunities to formulate group PM decisions for massive machines. Finally, a collaborative DSS-TSA algorithm is designed to cyclically coordinate the real-time production scheduling with OM decision-making to avoid repetitively solving large-scale joint problems. Our collaborative scheduling algorithm is verified in a real CMfg scenario for gas turbine blades. The results prove the significant improvement in production timeliness, machine availability, and system profitability. © 2024 Elsevier B.V., All rights reserved.","Cloud manufacturing (CMfg) paradigm; collaborative scheduling algorithm; preventive maintenance decision-making; production-driven opportunistic maintenance; real-time production scheduling","Computer aided manufacturing; Gas turbines; Job shop scheduling; Preventive maintenance; Production control; Real time systems; Scheduling algorithms; Turbomachine blades; Cloud Manufacturing; Cloud manufacturing paradigm; Collaboration; Collaborative scheduling; Collaborative scheduling algorithm; Decisions makings; Dynamic scheduling; Job-Shop scheduling; Maintenance decision making; Manufacturing paradigm; Opportunistic maintenance; Preventive maintenance decision-making; Production-driven opportunistic maintenance; Real - Time system; Real-time production scheduling; Decision making","Article","Scopus","2-s2.0-85171535894"
"Ling, L.; Song, Z.-M.; Zhang, X.; Cao, P.-Z.; Wang, X.-Q.; Liu, C.-H.; Liu, M.-Z.","Ling, Llin (35220084600); Song, Zhe Ming (58561413400); Zhang, Xi (58888279400); Cao, Peng Zhou (58561213200); Wang, Xiaoqiao (54794546100); Liu, Conghu (55624256900); Liu, Mingzhou (8914761600)","35220084600; 58561413400; 58888279400; 58561213200; 54794546100; 55624256900; 8914761600","Manufacturing task data chain-driven production logistics trajectory analysis and optimization decision making method","2024","2","10.1007/s40436-023-00454-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169697723&doi=10.1007%2Fs40436-023-00454-0&partnerID=40&md5=a54d20566434d690b0fc063425e12b45","Production logistics (PL) is considered as a critical factor that affects the efficiency and cost of production operations in discrete manufacturing systems. To effectively utilize manufacturing big data to improve PL efficiency and promote job shop floor economic benefits, this study proposes a PL trajectory analysis and optimization decision making method driven by a manufacturing task data chain (MTDC). First, the manufacturing task chain (MTC) is defined to characterize the discrete production process of a product. To handle manufacturing big data, the MTC data paradigm is designed, and the MTDC is established. Then, the logistics trajectory model is presented, where the various types of logistics trajectories are extracted using the MTC as the search engine for the MTDC. Based on this, a logistics efficiency evaluation indicator system is proposed to support the optimization decision making for the PL. Finally, a case study is applied to verify the proposed method, and the method determines the PL optimization decisions for PL efficiency without changing the layout and workshop equipment, which can assist managers in implementing the optimization decisions. © 2024 Elsevier B.V., All rights reserved.","Data driven; Logistics optimization; Logistics trajectory analysis; Manufacturing task data chain (MTDC); Production logistics (PL)","Decision making; Efficiency; Search engines; Trajectories; Data chain; Data driven; Logistic trajectory analyse; Logistics efficiency; Logistics optimization; Manufacturing task data chain; Manufacturing tasks; Production logistic; Production logistics; Trajectory analysis; Big data","Article","Scopus","2-s2.0-85169697723"
"Mahmoodi, E.; Fathi, M.; Tavana, M.; Ghobakhloo, M.; Ng, A.H.C.","Mahmoodi, Ehsan (57200176436); Fathi, Masood (35603113600); Tavana, Madjid (6603702674); Ghobakhloo, Morteza (36141576300); Ng, Amos H.C. (7202763066)","57200176436; 35603113600; 6603702674; 36141576300; 7202763066","Data-driven simulation-based decision support system for resource allocation in industry 4.0 and smart manufacturing","2024","36","10.1016/j.jmsy.2023.11.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183766753&doi=10.1016%2Fj.jmsy.2023.11.019&partnerID=40&md5=d0b6077abbf9f690d10ed6a1ebbb6916","Data-driven simulation (DDS) is fundamental to analytical and decision-support technologies in Industry 4.0 and smart manufacturing. This study investigates the potential of DDS for resource allocation (RA) in high-mix, low-volume smart manufacturing systems with mixed automation levels. A DDS-based decision support system (DDS-DSS) is developed by incorporating two RA strategies: simulation-based bottleneck analysis (SB-BA) and simulation-based multi-objective optimization (SB-MOO). To enhance the performance of SB-MOO, a unique meta-learning mechanism featuring memory, dynamic orthogonal array, and learning rate is integrated into the NSGA-II, resulting in a modified version of the NSGA-II with meta-learning (i.e., NSGA-II-ML). The proposed DSS also benefits from a post-optimality analysis that leverages a clustering algorithm to derive actionable insights. A real-life marine engine manufacturing application study is presented to demonstrate the applicability and exhibit efficacy of the proposed DSS and NSGA-II-ML. To this aim, NSGA-II-ML was tested against the original NSGA-II and differential evolution (DE) algorithm across a set of test problems. The results revealed that NSGA-II-ML surpassed the other two in terms of the number of non-dominated solutions and hypervolume, particularly in medium and large-sized problems. Furthermore, NSGA-II-ML achieved a 24% improvement in the best throughput found in the real case problem, outperforming SB-BA, NSGA-II, and DE. The post-optimality analysis led to the extraction of valuable knowledge about the key, influencing decision variables on the throughput. © 2024 Elsevier B.V., All rights reserved.","Data-driven simulation; Decision support system; High-mix low-volume; Industry 4.0; Meta-learning; Multi-objective optimization; Resource allocation","Artificial intelligence; Clustering algorithms; Decision support systems; Evolutionary algorithms; Flow control; Industry 4.0; Learning systems; Resource allocation; Bottleneck analysis; Data-driven simulation; Decision supports; High-mix/low volumes; Metalearning; Multi-objectives optimization; NSGA-II; Post Optimality Analysis; Resources allocation; Smart manufacturing; Multiobjective optimization","Article","Scopus","2-s2.0-85183766753"
"Zhang, X.; Ming, X.","Zhang, Xianyu (57207318254); Ming, Xingguo (7005300183)","57207318254; 7005300183","A smart system of Customer- product Interaction Life Cycle (CILC) in industrial Internet era for mass personalization from industrial practice survey: identification, definition, acquisition and parsing","2024","10","10.1007/s10845-022-02070-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146307451&doi=10.1007%2Fs10845-022-02070-4&partnerID=40&md5=32c669cf7a5c61b917eab109ef0a2ef6","In the Internet era, the industrial Internet platform has become a bridge between customers and enterprises. In addition, with the continuous improvement of customers’ living standards, customers not only meet the basic needs for the functionality of products, but also yearn to participate in the production process of products and interactive experience activities with enterprises while pursuing high quality. In view of the difficulties in identifying and capturing the dynamically changing needs of customer- product interaction whole life cycle under the new environment of industrial Internet, and the problem of large amount and redundancy of demand data, this paper develops a set of models and methods covering the identification, definition, acquisition and parsing of customer needs, which provides theoretical support and decision-making basis for enterprises to accurately capture and predict customer needs, excavates potential market customers of enterprises, and realizes value-added of the value chain. Moreover, the methodology of personalized requirements for CILC proposed in this paper is helpful to the transformation of enterprise manufacturing model from mass manufacturing to mass customization and even to mass personalization. It can reduce enterprise production costs, and improve customer satisfaction and service experience. © 2024 Elsevier B.V., All rights reserved.","Demand identification; Industrial Internet platform; Industrial practice survey; Mass customization; Mass personalization; Personalized requirements","Computer aided manufacturing; Customer satisfaction; Decision making; Sales; Customer products; Demand identification; Industrial internet platform; Industrial practice survey; Industrial practices; Mass customization; Mass personalization; Personalizations; Personalized requirement; Product interaction; Life cycle","Article","Scopus","2-s2.0-85146307451"
"Modesti, P.; Kobylarz, J.K.; Borsato, M.","Modesti, Paulo H. (57219452061); Kobylarz, Jhonatan (57215684622); Borsato, Milton (57144086700)","57219452061; 57215684622; 57144086700","Artificial intelligence-based method for forecasting flowtime in job shops","2024","4","10.1108/VJIKMS-08-2021-0146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125414044&doi=10.1108%2FVJIKMS-08-2021-0146&partnerID=40&md5=76ce9e19c523b4e306461cb16932f770","Purpose: This paper aims to develop a method based on artificial intelligence capable of predicting the due date (DD) of job shops in real-time, aiming to assist in the decision-making process of industries. Design/methodology/approach: This paper chooses to use the methodological approach Design Science Research (DSR). The DSR aims to build solutions based on technology to solve relevant issues, where its research results from precise methods in the evaluation and construction of the model. The steps of the DSR are identification of the problem and motivation, definition of the solution’s objectives, design and development, demonstration, evaluation of the solution and the communication of results. Findings: Along with this work, it is possible to verify that the proposed method allows greater accuracy in the DD definition forecasts when compared to conventional calculations. Research limitations/implications: Some limitations of this study can be pointed. It is possible to mention questions related to the tasks to be informed by users, as they could lead to problems in the performance of the artifact as the input data may not be correctly posted due to the misunderstanding of the question by part of the users. Originality/value: The proposed artifact is a method capable of contributing to the development of the manufacturing industry to improve the forecast of manufacturing dates, assisting in making decisions related to production planning. The use of real production data contributed to creating, demonstrating and evaluating the artifact. This approach was important for developing the method allowing more reliability. © 2024 Elsevier B.V., All rights reserved.","Artificial intelligence; Artificial neural networks; Due date forecasting; Job shop","Decision making; Manufacture; Neural networks; Production control; Decision-making process; Design-science researches; Design/methodology/approach; Due date forecasting; Due dates; Flow-time; Job-shop; Methodological approach; Real- time; Research results; Forecasting","Article","Scopus","2-s2.0-85125414044"
